Time (s),Mean HR Fallers (bpm),SD HR Fallers (bpm),Mean HR Non-Fallers (bpm),SD HR Non-Fallers (bpm)
-1.164000000000000057e+02,6.500079571102942566e+01,1.066399848281797524e+01,6.729130440898136101e+01,1.229907353615146981e+01
-1.162999999999999972e+02,6.500179684837544869e+01,1.066926755622709599e+01,6.730396739233998460e+01,1.234025787390914886e+01
-1.162000000000000028e+02,6.500229097786726129e+01,1.067375603960134001e+01,6.731613136087830185e+01,1.238052621762989780e+01
-1.160999999999999943e+02,6.500242145689772144e+01,1.067755187678648987e+01,6.732807330702345894e+01,1.242038155589926696e+01
-1.160000000000000000e+02,6.500236922446876520e+01,1.068079907371604165e+01,6.734011593822410191e+01,1.246046866760788951e+01
-1.159000000000000057e+02,6.500230571652397771e+01,1.068365161238778960e+01,6.735250666286678722e+01,1.250128411349242086e+01
-1.157999999999999972e+02,6.500239733798254349e+01,1.068626867594431573e+01,6.736536315168014255e+01,1.254301966623491538e+01
-1.157000000000000028e+02,6.500281040789079157e+01,1.068880935259852905e+01,6.737873211522713746e+01,1.258570411178840587e+01
-1.155999999999999943e+02,6.500367107555041457e+01,1.069138752646533064e+01,6.739257932390127337e+01,1.262921355552490610e+01
-1.155000000000000000e+02,6.500500622656720395e+01,1.069398627901463250e+01,6.740673732788710026e+01,1.267315393055269013e+01
-1.154000000000000057e+02,6.500676925793014505e+01,1.069646403958317649e+01,6.742095649707196969e+01,1.271701243770057133e+01
-1.152999999999999972e+02,6.500888487743165456e+01,1.069864546581056253e+01,6.743495032323622240e+01,1.276028943266150151e+01
-1.152000000000000028e+02,6.501124080888705237e+01,1.070036442996087089e+01,6.744842920968170574e+01,1.280248985723204314e+01
-1.150999999999999943e+02,6.501369745424780433e+01,1.070145946588077734e+01,6.746113392316382829e+01,1.284311496405198305e+01
-1.150000000000000000e+02,6.501611070789394375e+01,1.070176938095017327e+01,6.747283109588838101e+01,1.288166061583312505e+01
-1.149000000000000057e+02,6.501833328392976341e+01,1.070115246832989975e+01,6.748330402810212547e+01,1.291762845776643154e+01
