Time (s),Mean DBP (mmHg),SD DBP (mmHg)
-1.120999999999999943e+02,6.041912206818759756e+01,1.039315538687600871e+01
-1.120000000000000000e+02,6.048095349792822617e+01,1.042985456418539592e+01
-1.119000000000000057e+02,6.054156872389897615e+01,1.047995866104521845e+01
-1.117999999999999972e+02,6.060074320583805729e+01,1.054129006932982726e+01
-1.117000000000000028e+02,6.062327767433873049e+01,1.056032658506205912e+01
-1.115999999999999943e+02,6.059070857345601979e+01,1.051273696430207316e+01
-1.115000000000000000e+02,6.059362544322573996e+01,1.056917564990737013e+01
-1.114000000000000057e+02,6.064075345220678059e+01,1.062218785912893537e+01
-1.112999999999999972e+02,6.069942482069401279e+01,1.067837579466761255e+01
-1.112000000000000028e+02,6.069478658875734567e+01,1.058100228455900549e+01
-1.110999999999999943e+02,6.064578444013155689e+01,1.038611295868632745e+01
-1.110000000000000000e+02,6.056306277365425927e+01,1.018471854828625212e+01
-1.109000000000000057e+02,6.046800152789337091e+01,9.984732508006720408e+00
-1.107999999999999972e+02,6.050560697081372297e+01,9.918963536206781839e+00
-1.107000000000000028e+02,6.056500737293178105e+01,9.910032560285580772e+00
-1.105999999999999943e+02,6.060666275011045911e+01,9.904327331684241287e+00
-1.105000000000000000e+02,6.063335381440179361e+01,9.928202997717052725e+00
-1.104000000000000057e+02,6.066601283062314565e+01,9.950434190598084427e+00
-1.102999999999999972e+02,6.065862661166043779e+01,9.931255859783412632e+00
-1.102000000000000028e+02,6.064802240570049463e+01,9.872525910984439435e+00
-1.100999999999999943e+02,6.063341480537194172e+01,9.799426753089411690e+00
-1.100000000000000000e+02,6.062171405803128721e+01,9.730460739279671145e+00
-1.099000000000000057e+02,6.060570374809318395e+01,9.665192492607152630e+00
-1.097999999999999972e+02,6.054718048113536355e+01,9.549484084346579138e+00
-1.097000000000000028e+02,6.047838858458106159e+01,9.446027400365457183e+00
-1.095999999999999943e+02,6.045415960040379133e+01,9.423516106474970400e+00
-1.095000000000000000e+02,6.041883890204876906e+01,9.395680574571814603e+00
-1.094000000000000057e+02,6.038330230873830118e+01,9.373671060766985974e+00
-1.092999999999999972e+02,6.035158815193411641e+01,9.356515856085053429e+00
-1.092000000000000028e+02,6.032757127274729925e+01,9.358690267033880517e+00
-1.090999999999999943e+02,6.036812619255673695e+01,9.396341992580889979e+00
-1.090000000000000000e+02,6.041221320146986784e+01,9.441993618069396632e+00
-1.089000000000000057e+02,6.045707723967213099e+01,9.471875953988840635e+00
-1.087999999999999972e+02,6.050832390521608062e+01,9.478085461993261518e+00
-1.087000000000000028e+02,6.056824727497119909e+01,9.502290659893493086e+00
-1.085999999999999943e+02,6.060487990241161782e+01,9.509398256044251596e+00
-1.085000000000000000e+02,6.058476367297398468e+01,9.475356818852933571e+00
-1.084000000000000057e+02,6.057168764609166089e+01,9.459858824412430423e+00
-1.082999999999999972e+02,6.059815882791635744e+01,9.503263623832490126e+00
-1.082000000000000028e+02,6.063131239119459082e+01,9.559299159208961782e+00
-1.080999999999999943e+02,6.064525965706024380e+01,9.606503126109341650e+00
-1.080000000000000000e+02,6.064206640550025895e+01,9.662589871262872165e+00
-1.079000000000000057e+02,6.063293761745482158e+01,9.729581737096033578e+00
-1.077999999999999972e+02,6.059412466909756034e+01,9.727742596327290769e+00
-1.077000000000000028e+02,6.054726650581809366e+01,9.715299130824130103e+00
-1.075999999999999943e+02,6.053160029806907971e+01,9.698272324481186146e+00
-1.075000000000000000e+02,6.051985152104651178e+01,9.680557248627728484e+00
-1.074000000000000057e+02,6.050657288998942818e+01,9.678327586536985550e+00
-1.072999999999999972e+02,6.051532937958311464e+01,9.773332373290797292e+00
-1.072000000000000028e+02,6.050077046126816072e+01,9.873169186528384600e+00
-1.070999999999999943e+02,6.047509839560218126e+01,9.976657776502614539e+00
-1.070000000000000000e+02,6.045621557610822094e+01,1.008206303076309673e+01
-1.069000000000000057e+02,6.044740378702945094e+01,1.018708237502406355e+01
-1.067999999999999972e+02,6.042640492257609708e+01,1.024947773645942917e+01
-1.067000000000000028e+02,6.041181913676548021e+01,1.031166552764926969e+01
-1.065999999999999943e+02,6.041813649519414042e+01,1.038927677712124265e+01
-1.065000000000000000e+02,6.043315820868909327e+01,1.046075889016962357e+01
-1.064000000000000057e+02,6.043979700172314296e+01,1.051224113011087091e+01
-1.062999999999999972e+02,6.043490557474078173e+01,1.050114547317333091e+01
-1.062000000000000028e+02,6.043744469756733650e+01,1.048201809587339817e+01
-1.060999999999999943e+02,6.043992367202420724e+01,1.042872288867720520e+01
-1.060000000000000000e+02,6.042412462646716165e+01,1.036452805505817842e+01
-1.059000000000000057e+02,6.037664982529034319e+01,1.030051069196999869e+01
-1.057999999999999972e+02,6.032938890049913283e+01,1.024004864945071525e+01
-1.057000000000000028e+02,6.028953265352048874e+01,1.019863262574519958e+01
