Time (s),Mean SBP (mmHg),SD SBP (mmHg)
-1.145999999999999943e+02,1.165797634075221652e+02,1.936541849236077795e+01
-1.145000000000000000e+02,1.167130889691163986e+02,1.964836812884376727e+01
-1.144000000000000057e+02,1.168291150320990823e+02,1.992153913583311819e+01
-1.142999999999999972e+02,1.166563217676226287e+02,1.959182750829722863e+01
-1.142000000000000028e+02,1.165181300700275813e+02,1.928830807383932466e+01
-1.140999999999999943e+02,1.163836134197591008e+02,1.903001219096010743e+01
-1.140000000000000000e+02,1.162689086034046255e+02,1.882028451844025341e+01
-1.139000000000000057e+02,1.161562523809854781e+02,1.866597475546688045e+01
-1.137999999999999972e+02,1.163713338687933998e+02,1.884516935981707064e+01
-1.137000000000000028e+02,1.166545847643165814e+02,1.916836847605533478e+01
-1.135999999999999943e+02,1.169366282794156433e+02,1.956334662936363600e+01
-1.135000000000000000e+02,1.172014581297042213e+02,2.001718836226443798e+01
-1.134000000000000057e+02,1.174714948090241364e+02,2.053608957680435410e+01
-1.132999999999999972e+02,1.176710306962393418e+02,2.090631831181097766e+01
-1.132000000000000028e+02,1.175927188484318577e+02,2.060736846712030257e+01
-1.130999999999999943e+02,1.175022813315410275e+02,2.032726972455006731e+01
-1.130000000000000000e+02,1.172653021960075250e+02,2.004249540822889841e+01
-1.129000000000000057e+02,1.170202217725759937e+02,1.978545919276128018e+01
-1.127999999999999972e+02,1.167947390178408398e+02,1.954780174142117488e+01
-1.127000000000000028e+02,1.165617787186335619e+02,1.935621249370651853e+01
-1.125999999999999943e+02,1.164717116363291893e+02,1.943788072239716769e+01
-1.125000000000000000e+02,1.166021814050101142e+02,1.950301384229300794e+01
-1.124000000000000057e+02,1.167762119788697248e+02,1.956784082000956460e+01
-1.122999999999999972e+02,1.169425882487689563e+02,1.966585313248341294e+01
-1.122000000000000028e+02,1.171200371678905867e+02,1.978515529748120372e+01
-1.120999999999999943e+02,1.172639860476336509e+02,1.994004562077241260e+01
-1.120000000000000000e+02,1.172278574096519321e+02,1.990201648690369396e+01
-1.119000000000000057e+02,1.171371173699895110e+02,1.975397136774079598e+01
-1.117999999999999972e+02,1.170530123103566780e+02,1.961809343838399755e+01
-1.117000000000000028e+02,1.169667359786196528e+02,1.948969810457740692e+01
-1.115999999999999943e+02,1.168813806707874505e+02,1.937095617458330921e+01
-1.115000000000000000e+02,1.168227339897252790e+02,1.925162697770501552e+01
-1.114000000000000057e+02,1.168063878288149482e+02,1.916642963752282114e+01
-1.112999999999999972e+02,1.168489858269434905e+02,1.917176319515504801e+01
-1.112000000000000028e+02,1.169313345495605461e+02,1.916838342092788849e+01
-1.110999999999999943e+02,1.170096740343108053e+02,1.917540376654648071e+01
-1.110000000000000000e+02,1.170991481413354194e+02,1.925270211129371489e+01
-1.109000000000000057e+02,1.172149809423674043e+02,1.941636782956605956e+01
-1.107999999999999972e+02,1.173013547818785725e+02,1.959289982085592641e+01
-1.107000000000000028e+02,1.172972876685871739e+02,1.952645696769613437e+01
-1.105999999999999943e+02,1.172284629923076125e+02,1.930269363381107439e+01
-1.105000000000000000e+02,1.171217271566929696e+02,1.911328165928225431e+01
-1.104000000000000057e+02,1.169999280575903100e+02,1.894610845098431184e+01
-1.102999999999999972e+02,1.168852175622525209e+02,1.877711700425480146e+01
-1.102000000000000028e+02,1.167221431307438877e+02,1.858216629533234254e+01
-1.100999999999999943e+02,1.167397568493758371e+02,1.861759626729064010e+01
-1.100000000000000000e+02,1.167911836483428374e+02,1.872698995580622139e+01
-1.099000000000000057e+02,1.168808623650756573e+02,1.885672692255003824e+01
-1.097999999999999972e+02,1.169448534690056931e+02,1.900940061417316684e+01
-1.097000000000000028e+02,1.170867808808270780e+02,1.920162486892129294e+01
