Time (s),Mean DBP Fallers (mmHg),SD DBP Fallers (mmHg),Mean DBP Non-Fallers (mmHg),SD DBP Non-Fallers (mmHg)
-1.165999999999999943e+02,5.876558910708031647e+01,7.326848204096122252e+00,6.407228989563192556e+01,1.181994654317720617e+01
-1.165000000000000000e+02,5.880087503105487201e+01,7.328272665542652220e+00,6.410772811742180011e+01,1.188145653170879434e+01
-1.164000000000000057e+02,5.884852725860505984e+01,7.328012348597441772e+00,6.408156468457204369e+01,1.191284813471828308e+01
-1.162999999999999972e+02,5.889546523162131564e+01,7.315062108400021579e+00,6.400702360867953189e+01,1.192225974610463091e+01
-1.162000000000000028e+02,5.893177052178481290e+01,7.301524406429678038e+00,6.393406023851652975e+01,1.193798929087665073e+01
-1.160999999999999943e+02,5.896261075307994304e+01,7.287794232221845192e+00,6.387951732938497429e+01,1.197571390602235120e+01
-1.160000000000000000e+02,5.897925134578859740e+01,7.269970081095780579e+00,6.390352945849107158e+01,1.193237814077106407e+01
-1.159000000000000057e+02,5.898992037094911467e+01,7.254919691090728762e+00,6.393992747866343507e+01,1.190539262170719148e+01
-1.157999999999999972e+02,5.899519510290850377e+01,7.243015322158806057e+00,6.397989184739253687e+01,1.187294944921990059e+01
-1.157000000000000028e+02,5.899679006137596815e+01,7.230450521576109679e+00,6.404273944221152703e+01,1.183964715986958716e+01
-1.155999999999999943e+02,5.898915911151191693e+01,7.192351424699549689e+00,6.411151744732259772e+01,1.183924160226088773e+01
-1.155000000000000000e+02,5.897756058625672182e+01,7.155088911610276270e+00,6.414670653747587892e+01,1.184320540993542892e+01
-1.154000000000000057e+02,5.896143807376699186e+01,7.122794123337055971e+00,6.413144774725738273e+01,1.180909737246287072e+01
-1.152999999999999972e+02,5.894702213175652616e+01,7.098924778998606300e+00,6.412444359053142762e+01,1.178574723971113514e+01
-1.152000000000000028e+02,5.893352025012384132e+01,7.076086033591350244e+00,6.411376255707473604e+01,1.177436132520786494e+01
-1.150999999999999943e+02,5.891135200387212478e+01,7.054061955052446820e+00,6.410556856967936312e+01,1.177683776608906818e+01
-1.150000000000000000e+02,5.887985729994631612e+01,7.042786333081568984e+00,6.410167780521250336e+01,1.174079025812312516e+01
-1.149000000000000057e+02,5.884154332537003995e+01,7.028388546524509728e+00,6.409723845055079039e+01,1.166646722541404024e+01
-1.147999999999999972e+02,5.880217437961422178e+01,7.020852200804903909e+00,6.413694395968576600e+01,1.160777006676680045e+01
-1.147000000000000028e+02,5.877030144209701490e+01,7.022852540265322574e+00,6.419835231857841507e+01,1.156157961915197951e+01
-1.145999999999999943e+02,5.874333223326305387e+01,7.024079302102735234e+00,6.424925701776435005e+01,1.152648590698229469e+01
-1.145000000000000000e+02,5.871975216332105418e+01,7.019504210635966857e+00,6.429406278974698807e+01,1.150771186856595207e+01
-1.144000000000000057e+02,5.871551633770760503e+01,7.013396459631483282e+00,6.433366724706722550e+01,1.156213628007925465e+01
-1.142999999999999972e+02,5.870634487632057841e+01,7.005740072031890087e+00,6.436220198198324738e+01,1.162290689766327567e+01
-1.142000000000000028e+02,5.870305087340520345e+01,6.999240132166951511e+00,6.439466938712034505e+01,1.169265534794722861e+01
-1.140999999999999943e+02,5.870019325993774117e+01,6.989551959025016359e+00,6.441428130143894748e+01,1.175133168401800177e+01
-1.140000000000000000e+02,5.869446450375593116e+01,6.976801494217400368e+00,6.443317593019658318e+01,1.181489009583652638e+01
-1.139000000000000057e+02,5.869790035774818904e+01,6.967951910304898355e+00,6.439608517484580830e+01,1.178999133166353630e+01
-1.137999999999999972e+02,5.871161633254188672e+01,6.961205724153032293e+00,6.434553916343736546e+01,1.176301233843125793e+01
-1.137000000000000028e+02,5.872140348360490236e+01,6.952270452734614636e+00,6.428814237649980612e+01,1.172616839923632703e+01
-1.135999999999999943e+02,5.871654600406892399e+01,6.929759601448770567e+00,6.422522282695311446e+01,1.165619189368723596e+01
-1.135000000000000000e+02,5.871580300701772615e+01,6.899066189737937727e+00,6.416340900948027581e+01,1.159453816005009763e+01
-1.134000000000000057e+02,5.871416029888200683e+01,6.867885185492672129e+00,6.411905421356480872e+01,1.156234063482076024e+01
-1.132999999999999972e+02,5.872100476270239966e+01,6.834808133045052081e+00,6.409177052763085669e+01,1.158201236230174302e+01
-1.132000000000000028e+02,5.872199319435592457e+01,6.800996003195432849e+00,6.407031254410600241e+01,1.160097017292934396e+01
-1.130999999999999943e+02,5.874205793049728896e+01,6.787009960571541711e+00,6.408986216558227511e+01,1.162739499012389111e+01
-1.130000000000000000e+02,5.876363652813339655e+01,6.772791948540212381e+00,6.410094037665544420e+01,1.166203999196732788e+01
-1.129000000000000057e+02,5.878584155481829754e+01,6.762677939626375867e+00,6.410771782818426345e+01,1.169563297928990941e+01
-1.127999999999999972e+02,5.880523195773893974e+01,6.756065371587959056e+00,6.413564315654856784e+01,1.174115829203709360e+01
-1.127000000000000028e+02,5.882480747548348177e+01,6.752769573308994744e+00,6.415901609251874049e+01,1.176264673369464653e+01
-1.125999999999999943e+02,5.886309581837868166e+01,6.758847196798471124e+00,6.417592152123586402e+01,1.174850344116192069e+01
