Time (s),Mean SBP Fallers (mmHg),SD SBP Fallers (mmHg),Mean SBP Non-Fallers (mmHg),SD SBP Non-Fallers (mmHg)
-1.182000000000000028e+02,1.149102674336404846e+02,1.761491670294408252e+01,1.236798166795746283e+02,2.057553341047639961e+01
-1.180999999999999943e+02,1.148353394382578045e+02,1.755925087193408274e+01,1.237810116474976923e+02,2.069029258478164834e+01
-1.180000000000000000e+02,1.147320624668341509e+02,1.753304413883207502e+01,1.238312276878367442e+02,2.079631331672705485e+01
-1.179000000000000057e+02,1.146529698386732292e+02,1.752296140081647380e+01,1.238633932502413586e+02,2.093224743500466190e+01
-1.177999999999999972e+02,1.145887425189288678e+02,1.752549005200609855e+01,1.240661278220454733e+02,2.080959322810414136e+01
-1.177000000000000028e+02,1.145503593928786046e+02,1.754088754908061887e+01,1.242722498853550093e+02,2.072154813713176935e+01
-1.175999999999999943e+02,1.145269416224013241e+02,1.756125533680276973e+01,1.244327251402372809e+02,2.064586199403318645e+01
-1.175000000000000000e+02,1.145039086438700480e+02,1.760466470794738569e+01,1.245804358572590047e+02,2.060733507777632667e+01
-1.174000000000000057e+02,1.144919456862728424e+02,1.769248982528698377e+01,1.247627888044291353e+02,2.059867063893178596e+01
-1.172999999999999972e+02,1.144919225823709894e+02,1.779843714427444112e+01,1.249243550529942155e+02,2.057418091514657732e+01
-1.172000000000000028e+02,1.144977448592225073e+02,1.783033620112662021e+01,1.249789015421610117e+02,2.062991191751515885e+01
-1.170999999999999943e+02,1.145718349051394682e+02,1.783528696118158408e+01,1.249594248473596281e+02,2.074684715432656645e+01
-1.170000000000000000e+02,1.146622185624492829e+02,1.784181898428931135e+01,1.248922257188503409e+02,2.084348937872893615e+01
-1.169000000000000057e+02,1.147934881781264096e+02,1.783421335661022411e+01,1.247447220942293313e+02,2.088388142868517505e+01
-1.167999999999999972e+02,1.149286971130838282e+02,1.779862796526214197e+01,1.245742872924316060e+02,2.094966190571216558e+01
-1.167000000000000028e+02,1.150599314560696200e+02,1.776233308727535842e+01,1.243944418787404231e+02,2.101461972943528878e+01
-1.165999999999999943e+02,1.151889218079002291e+02,1.773219491973624429e+01,1.242083160182140205e+02,2.109878990654905806e+01
-1.165000000000000000e+02,1.152607782263237084e+02,1.765001766882490131e+01,1.240148933591638070e+02,2.119448792468492471e+01
-1.164000000000000057e+02,1.153539725253004207e+02,1.757750419733860170e+01,1.239297736944648705e+02,2.131987677995252284e+01
-1.162999999999999972e+02,1.154539459205705185e+02,1.750267727052794342e+01,1.240138207873438603e+02,2.119512780836760868e+01
-1.162000000000000028e+02,1.154836885541592295e+02,1.742077318368410133e+01,1.240828974737215162e+02,2.107227906942867790e+01
-1.160999999999999943e+02,1.155130629174763754e+02,1.734580923067012748e+01,1.241411616809454870e+02,2.096734137566863510e+01
-1.160000000000000000e+02,1.154843078326361194e+02,1.728387991255527112e+01,1.241941936967417917e+02,2.088887470925532597e+01
-1.159000000000000057e+02,1.154675167223213350e+02,1.723246279674228632e+01,1.241645319274985724e+02,2.075944602202915945e+01
-1.157999999999999972e+02,1.154500128393623584e+02,1.718656224507998331e+01,1.241257734092334886e+02,2.066174116162314789e+01
-1.157000000000000028e+02,1.154021736289225686e+02,1.713651512782849196e+01,1.240939838279655163e+02,2.061596206343674353e+01
-1.155999999999999943e+02,1.153098308165959054e+02,1.708521187834431032e+01,1.239821196106021404e+02,2.063542096493111089e+01
-1.155000000000000000e+02,1.152088299173360326e+02,1.702032433487188712e+01,1.238895695144609874e+02,2.065309266238529773e+01
-1.154000000000000057e+02,1.151142792888721118e+02,1.695244168324806111e+01,1.238289772236060742e+02,2.060995567817576557e+01
-1.152999999999999972e+02,1.150342104693573901e+02,1.688578279313919239e+01,1.238258925471781993e+02,2.051415604094646028e+01
-1.152000000000000028e+02,1.150094640344744050e+02,1.694685473675570719e+01,1.238690336277140318e+02,2.044278194387688430e+01
-1.150999999999999943e+02,1.149911086612690809e+02,1.702498549639815550e+01,1.239391677807495142e+02,2.040235833625109052e+01
-1.150000000000000000e+02,1.149983930750282326e+02,1.710459906785475681e+01,1.240150372027285073e+02,2.041926662820712934e+01
-1.149000000000000057e+02,1.150090863819104641e+02,1.717792388466576980e+01,1.240929423598780659e+02,2.047576082583615431e+01
-1.147999999999999972e+02,1.150178784429425605e+02,1.723835064009889351e+01,1.242607250341174563e+02,2.062858461808281163e+01
-1.147000000000000028e+02,1.150255503587424926e+02,1.730367336053874183e+01,1.244391416720512069e+02,2.081233341278698745e+01
-1.145999999999999943e+02,1.150387176937786364e+02,1.738143084955394357e+01,1.245790131845178195e+02,2.099797505950949628e+01
-1.145000000000000000e+02,1.150638459945462273e+02,1.747696064782592629e+01,1.247066549347880198e+02,2.121209603537955246e+01
-1.144000000000000057e+02,1.150842189976156931e+02,1.759170416595332753e+01,1.248154021645623004e+02,2.143852229626910599e+01
-1.142999999999999972e+02,1.151447536027321519e+02,1.770420763719187462e+01,1.247746077502521587e+02,2.145937494035062798e+01
-1.142000000000000028e+02,1.151967643258859226e+02,1.777717955177490339e+01,1.247065450841471801e+02,2.140576418204057418e+01
-1.140999999999999943e+02,1.152264852965392805e+02,1.783272045601181333e+01,1.246437044863720303e+02,2.136933156514703569e+01
-1.140000000000000000e+02,1.152259892392868466e+02,1.789415499053954761e+01,1.246030498647590576e+02,2.133650981077325426e+01
-1.139000000000000057e+02,1.152157498918492280e+02,1.797044583868054701e+01,1.245809096977859554e+02,2.130032300299496839e+01
-1.137999999999999972e+02,1.151873470483228203e+02,1.806365390383534120e+01,1.246945737577042479e+02,2.132758205147505848e+01
-1.137000000000000028e+02,1.151530727699608434e+02,1.816511039931857141e+01,1.248074898854361692e+02,2.136803607171676589e+01
-1.135999999999999943e+02,1.151306933002734212e+02,1.826600959136620617e+01,1.249098908167942739e+02,2.144228382145441003e+01
-1.135000000000000000e+02,1.151027419416234210e+02,1.836720822154077482e+01,1.249810867578358966e+02,2.153427073789928770e+01
-1.134000000000000057e+02,1.151050712125617963e+02,1.845599756464920205e+01,1.250512813309264857e+02,2.168744516633376307e+01
-1.132999999999999972e+02,1.151327597640679414e+02,1.853520475683427549e+01,1.250811464621046838e+02,2.180003180258204409e+01
-1.132000000000000028e+02,1.151659287925901367e+02,1.857408075339362341e+01,1.249704061852999217e+02,2.169903784922261281e+01
-1.130999999999999943e+02,1.151702387037591819e+02,1.845045007197397879e+01,1.248672430952046284e+02,2.162628206921505836e+01
-1.130000000000000000e+02,1.151601736271169898e+02,1.832003833340936083e+01,1.247187978413574001e+02,2.158207929143408066e+01
-1.129000000000000057e+02,1.151434658323927209e+02,1.815490663024260343e+01,1.245615776413438738e+02,2.155637889604440360e+01
-1.127999999999999972e+02,1.151457543728914175e+02,1.796542047452917501e+01,1.244177767297330348e+02,2.154404942884394103e+01
-1.127000000000000028e+02,1.151488185859488169e+02,1.777518232561151734e+01,1.242619019439783443e+02,2.154966515555360473e+01
-1.125999999999999943e+02,1.151241945467943566e+02,1.759133551368487502e+01,1.242066542690950826e+02,2.165252600415109541e+01
-1.125000000000000000e+02,1.150844367965791690e+02,1.741118530153510235e+01,1.242485071433515316e+02,2.172133561613867059e+01
-1.124000000000000057e+02,1.150712158137172025e+02,1.723346501076004955e+01,1.243110250929362337e+02,2.177851042033251616e+01
-1.122999999999999972e+02,1.150728101159888155e+02,1.706009481777208947e+01,1.243615724668560034e+02,2.183807915117548504e+01
-1.122000000000000028e+02,1.151103491527121321e+02,1.701440262082048349e+01,1.244137588428781811e+02,2.190853873133945839e+01
-1.120999999999999943e+02,1.151572222465946709e+02,1.699808453237331207e+01,1.244536413994302535e+02,2.201111307205904311e+01
-1.120000000000000000e+02,1.152073159632871722e+02,1.699696920770741926e+01,1.244151936182477840e+02,2.206576765458707001e+01
-1.119000000000000057e+02,1.152333686154142498e+02,1.700032323215357266e+01,1.243327855142293146e+02,2.202391616976655797e+01
-1.117999999999999972e+02,1.152594212675412848e+02,1.701018167117839042e+01,1.242871144715445837e+02,2.192923693379686867e+01
-1.117000000000000028e+02,1.152989607800295460e+02,1.703370187544476977e+01,1.242931345533947933e+02,2.186446911694369177e+01
-1.115999999999999943e+02,1.153572992027530120e+02,1.706088618046625527e+01,1.243113214907509416e+02,2.181102391895238668e+01
-1.115000000000000000e+02,1.154272406099103989e+02,1.708828342452352800e+01,1.243194282549836061e+02,2.175840810344010379e+01
-1.114000000000000057e+02,1.154931064073842037e+02,1.713023329036514752e+01,1.242943456161505935e+02,2.169821833441415393e+01
-1.112999999999999972e+02,1.154978237615724908e+02,1.715336914746225361e+01,1.243113405550348460e+02,2.165168910522750778e+01
-1.112000000000000028e+02,1.154698065695733078e+02,1.717138657316082728e+01,1.243055748336358306e+02,2.158454360134713923e+01
-1.110999999999999943e+02,1.154353438519941051e+02,1.719851781853870420e+01,1.242995681355652380e+02,2.154369940463068289e+01
-1.110000000000000000e+02,1.153452594200051635e+02,1.717995848526916447e+01,1.243160882928545021e+02,2.154345395431485954e+01
-1.109000000000000057e+02,1.152454455764853378e+02,1.716677519530050589e+01,1.243537352769723441e+02,2.159263429550978231e+01
-1.107999999999999972e+02,1.151477674345872231e+02,1.716413149907299385e+01,1.244235733313819168e+02,2.165721986570818913e+01
-1.107000000000000028e+02,1.150634374493444056e+02,1.717592734627456252e+01,1.245006489218515497e+02,2.161851678839080648e+01
-1.105999999999999943e+02,1.149750859567192265e+02,1.718019513714573421e+01,1.245480200951385399e+02,2.152686061301340459e+01
-1.105000000000000000e+02,1.148771689547064199e+02,1.720925610921873883e+01,1.246030757102628712e+02,2.144305868215332112e+01
-1.104000000000000057e+02,1.147869614924932904e+02,1.725216400561295060e+01,1.246474064997973557e+02,2.137852525781735480e+01
-1.102999999999999972e+02,1.147392040627694882e+02,1.727415524057385809e+01,1.246806841955018115e+02,2.131754083328973692e+01
-1.102000000000000028e+02,1.147232523076740165e+02,1.728720685742813501e+01,1.246228440077286592e+02,2.124775785138655948e+01
-1.100999999999999943e+02,1.147148884743101434e+02,1.730604672408152922e+01,1.246003636843246483e+02,2.120944875971219545e+01
-1.100000000000000000e+02,1.147056972008076627e+02,1.732783517226541647e+01,1.245903139533948973e+02,2.119960839365855065e+01
-1.099000000000000057e+02,1.147542122014881159e+02,1.734289440447497199e+01,1.245634389048139781e+02,2.121869378276880980e+01
-1.097999999999999972e+02,1.148066394932461236e+02,1.736209256033927772e+01,1.245091062607627208e+02,2.127051554324039273e+01
-1.097000000000000028e+02,1.148503250792616939e+02,1.739339331725691551e+01,1.244932359368308141e+02,2.133325576834892345e+01
-1.095999999999999943e+02,1.148623393680494900e+02,1.737206941808472749e+01,1.244848593523207256e+02,2.140638490929650928e+01
-1.095000000000000000e+02,1.148749265541622009e+02,1.731985538552697079e+01,1.244704457790135734e+02,2.146427523109876034e+01
